1	30	30	643739	590000	10	80733	30
1	1250	1250	2332325	890000	16	139895	1250
1	30	30	530562	530562	0	55221	30
1	30	30	788225	480000	10	100411	30
1	300	300	613466	461000	13	70243	300
3	180	60	717655	506000	6	72057	40
1	100	100	416938	222000	4	71926	100
6	1230	205	1040925	1040925	0	76579	200
22	7282	331	1067629	1050000	6	95856	3000
1	30	30	1274935	1050000	6	74409	30
1	1000	1000	2075229	1492000	2	95856	1000
1	5000	5000	588195	475000	4	70243	5000
1	101	101	399268	345000	1	44210	101
1	30	30	584763	510000	10	76579	30
1	40	40	491511	100500	34	76815	40
1	51	51	1472193	1050000	7	74409	51
1	40	40	979355	920000	1	55221	40
6	510	85	4310204	770000	15	36687	105
2	2845	1422	448433	185000	21	76579	470
83	2490	30	1456190	510000	17	76579	30
1	30	30	991876	600000	14	95856	30
1	30	30	1072667	262000	20	70243	30
2	2001	1000	1477893	579000	16	70243	1001
1	51	51	759233	755000	6	95856	51
10	940	94	466743	511000	8	59615	300
1	40	40	796473	650000	1	45733	40
7	700	100	1601566	959000	10	100411	100
1	30	30	2528082	1770000	13	126740	30
3	150	50	843352	191000	33	76579	30
4	120	30	665515	825000	7	70243	30
1	30	30	620883	592000	8	81153	30
18	5550	308	578977	548000	8	70243	500
6	2650	441	1561746	1170000	1	100411	100
1	30	30	848128	848128	0	58994	30
1	30	30	2979241	324000	19	76579	30
10	1020	102	785901	862000	6	70243	60
1	30	30	1398492	870000	4	95856	30
1	90	90	1315212	331000	19	76579	90
1	750	750	1016371	1025000	6	76579	750
1	1000	1000	1680838	630000	16	100411	1000
1	30	30	805511	464500	14	70243	30
1	1001	1001	8409911	5600000	13	44512.01308	1001
1	100	100	1209172	1209172	0	70243	100
1	100	100	903140	710000	10	70243	100
2	152	76	578837	578837	0	76579	101
3	255	85	2525757	1665000	1	70243	25
1	300	300	1064693	775500	3	77283	300
3	3500	1166	890925	925000	0	36687	1000
1	1000	1000	328548	410000	7	44512.01308	1000
14	3301	235	382125	450000	9	56489	30
1	60	60	876141	876141	0	70243	60
16	1470	91	562987	600000	6	90859	50
1	60	60	629190	629190	0	36687	60
2	250	125	404652	358500	10	76815	150
3	300	100	1382122	1150000	3	90859	100
4	579	144	658246	658246	0	75322	489
12	2819	234	1374153	1250000	6	76579	2339
1	54	54	260168	260168	0	40394	54
1	50	50	564274	600000	8	70243	50
4	120	30	1179192	920000	6	74409	30
3	170	56	630213	690000	6	76579	20
1	25	25	1320579	1320579	0	74409	25
8	260	32	645961	645961	0	69466	30
1	50	50	484626	380000	10	76579	50
2	202	101	932811	705000	7	70243	101
2	50	25	592582	617000	6	45733	25
10	2840	284	570631	441500	11	90859	310
3	90	30	404567	425000	8	58214	30
1	200	200	595353	571000	13	70243	200
3	123	41	1311165	1125000	4	40055	32
3	160	53	1314743	705000	10	100411	30
1	30	30	1414494	1133000	3	76579	30
1	200	200	939953	980000	7	46012	200
2	105	52	1282339	970000	9	76579	50
1	30	30	1731376	900000	10	126740	30
1	121	121	1047518	925000	9	66748	121
5	150	30	698761	665000	3	74409	30
1	250	250	1559888	573000	16	76579	250
1	20	20	1198737	1198737	0	74409	20
1	14	14	456472	518000	9	70370	14
1	10	10	340269	340269	0	36687	10
1	25	25	512248	630000	8	69350	25
1	25	25	803228	705000	2	76579	25
122	7150	58	624357	275000	3	70370	50
1	500	500	1520875	620000	16	76579	500
1	500	500	943723	892000	4	44512.01308	500
2	750	375	836038	414500	9	76642	250
1	30	30	460802	494000	5	78374	30
6	580	96	675704	740000	8	76579	90
2	450	225	51425000	51425000	0	69362	250
5	150	30	352822	440000	8	76579	30
1	35	35	875101	681000	4	69466	35
1	40	40	651173	319000	11	73030	40
4	3610	902	2194507	1680000	4	139895	390
8	300	37	236954	374000	9	41677	30
1	90	90	881544	255000	14	76579	90
1	30	30	911738	267000	26	74409	30
1	20	20	1145578	798000	9	70243	20
1	30	30	1252708	650000	10	100411	30
2	200	100	884786	574000	10	76579	100
2	600	300	701010	595000	1	100411	300
1	20	20	563329	577000	0	71926	20
4	2000	500	1358624	1358624	0	70243	850
3	250	83	136026	136026	0	41677	60
2	450	225	716925	716925	0	70243	225
2	202	101	1371991	1371991	0	70243	101
1	10	10	644122	644122	0	70243	10
32	400	12	616035	620000	8	70243	12.52
1	101	101	525269	270000	15	69350	101
1	50	50	285816	400000	5	41677	50
2	130	65	2838771	2838771	0	69466	100
1	30	30	8988586	3590909	16	44512.01308	30
1	20	20	1195855	416000	23	76579	20
1	60	60	1630929	1500000	8	76579	60
2	60	30	1081913	663000	5	100411	30
1	1000	1000	984861	1330000	7	64824	1000
2	60	30	522130	275000	11	62803	30
1	50	50	475019	270000	18	35453	50
1	50	50	303180	303180	0	45359	50
6	800	133	727231	646500	8	69466	50
2	100	50	1516073	845000	9	100411	50
3	6550	2183	1462070	755000	14	100411	700
4	250	62	742470	89000	34	75322	100
2	200	100	458149	142500	16	70243	100
1	251	251	1160121	1160121	0	70243	251
1	251	251	847993	679500	10	70243	251
1	60	60	2462901	1375000	14	137105	60
3	260	86	681752	405000	13	76579	30
4	140	35	387247	156000	16	73175	30
2	30	15	729919	725000	5	76579	10
1	50	50	1059912	805500	10	95856	50
1	30	30	1564287	1300000	7	100411	30
13	3010	231	1453685	1179000	5	100411	30
1	30	30	508392	400000	0	71926	30
1	30	30	257520	257520	0	50030	30
4	125	31	770401	770401	0	63238	35
7	1540	220	938657	860000	4	70243	50
1	1000	1000	750876	482000	10	76579	1000
6	300	50	885596	610000	3	51151	50
6	2500	416	774592	765000	7	76579	500
3	310	103	888903	848000	10	69734	30
3	600	200	570147	439000	4	70243	200
2	201	100	1081633	690000	1	56100	101
6	235	39	993124	1045000	8	65145	25
1	90	90	863125	825000	9	47122	90
4	422	105	493719	550000	6	78374	60
1	30	30	757148	691000	12	35453	30
2	190	95	624998	515000	3	69466	100
2	450	225	941361	910000	9	77283	90
1	1001	1001	997339	750000	6	69466	1001
1	30	30	638352	569000	6	55221	30
4	260	65	685859	28500	34	70243	30
1	121	121	373082	560000	7	70370	121
1	30	30	327378	530000	8	62794	30
2	100	50	665907	570000	12	70243	50
24	1610	67	358163	241000	12	73175	250
1	1000	1000	1161985	905364	2	95856	1000
3	3000	1000	1318647	800000	13	55221	1000
5	1500	300	763745	680000	8	74409	400
1	30	30	506456	506456	0	71926	30
1	20	20	610963	537000	9	76579	20
1	30	30	261816	170000	13	44512.01308	30
1	30	30	772603	583000	10	90859	30
1	100	100	597679	565000	6	61326	100
1	30	30	731168	545000	10	76579	30
2	65	32	932662	895000	9	114064	35
1	27	27	804563	740000	5	77283	27.05
1	27	27	1299290	1200000	6	76579	27.05
2	47	23	889892	345000	13	70243	25
2	95	47	669622	645000	9	76579	50
1	18	18	1181752	1015000	1	95279	18.63
3	260	86	690146	260000	18	78374	120
1	30	30	343773	235000	15	41677	30
3	251	83	1087974	680000	9	74409	51
48	8625	179	403100	349000	5	47122	125
2	495	247	825254	660000	9	74409	465
1	30	30	785742	395000	12	58994	30
1	100	100	509235	555000	7	90859	100
4	2000	500	686982	85000	35	76579	500
5	2310	462	1730731	1495000	7	60549	100
1	30	30	642454	656000	6	56489	30
1	30	30	584763	510000	10	76579	30
4	700	175	373156	440000	6	45908	50
1	51	51	356562	210000	15	51942	51
4	300	75	1792788	688000	17	100411	80
15	6200	413	787981	105400	34	76579	500
1	30	30	529720	595000	8	76579	30
3	800	266	654795	590000	3	70243	200
2	60	30	958110	637000	2	80905	30
1	100	100	1322019	1322019	0	55221	100
2	190	95	1162257	535000	12	74409	90
16	720	45	517471	681500	8	63238	30
4	900	225	459421	492000	9	58214	50
1	1000	1000	741110	473500	14	71926	1000
1	100	100	1534580	1278000	1	100411	100
1	30	30	762586	732000	7	84429	30
39	1230	31	867056	777000	7	70243	30
2	212	106	852933	350000	16	76579	101
3	150	50	507864	550000	5	70370	30
1	60	60	830453	749000	7	95279	60
6	1790	298	676713	608000	1	95856	150
3	150	50	855951	341000	18	71926	30
1	116	116	498180	660000	8	55597	116
1	90	90	1230510	789000	10	95279	90
6	350	58	739403	739403	0	69362	100
2	95	47	929323	880000	0	51177	65
2	225	112	456908	224000	23	64377	200
1	30	30	845545	338500	22	64377	30
1	30	30	1437944	1040000	2	95856	30
2	81	40	758518	84000	34	73030	51
2	200	100	723265	605000	9	76579	100
71	2160	30	1178993	1010000	8	72057	30
1	30	30	727759	232000	25	81015	30
1	30	30	901387	836500	7	95856	30
1	400	400	1263144	97000	34	100411	400
1	100	100	529197	520000	1	70243	100
2	2000	1000	747696	685000	6	95856	1000
1	30	30	831303	785000	9	77283	30
4	400	100	468892	71000	5	70243	100
4	564	141	244164	205000	5	70370	216
2	2000	1000	784039	677000	7	69466	1000
3	2001	667	1634061	647000	14	100411	101
1	30	30	435396	427500	5	77283	30
