903439	310000	728762	500
3283664	2900000	733380	50
1631384	1474000	733101	50
895324	210000	726254	250
388832	145750	725172	100
735418	647000	733366	100
773528	839000	733151	100
1361909	1150000	733997	100
826019	363000	728511	250
739014	750000	733046	50
739014	750000	733046	50
1181429	250000	732858	50
3391896	510000	725445	50
432945	346300	734591	200
435916	427500	733585	100
609395	510000	735271	25
1139633	320000	728733	100
343004	510000	733955	200
1236056	675000	730552	25
1198330	1032500	733634	100
937692	720000	731822	30
230386	205000	733710	30
474064	409900	731758	30
1660333	780000	731434	60
1734882	1280000	732393	60
2489449	575000	729874	360
2489449	575000	729874	740
866242	579000	733859	90
1325486	680000	730659	30
416937	400000	731491	30
1408797	682000	731731	60
1408797	682000	731731	30
273486	315000	733487	60
683211	570000	734152	30
415617	51000	722774	60
472216	535000	732249	360
1535624	1278000	735019	116
318648	353240	732989	60
1063792	890000	735277	30
1394841	1300000	735423	60
1241926	1060000	734580	60
278158	342000	732513	30
717817	478000	731310	90
857995	550000	733887	30
857995	550000	733887	360
4400231	1400000	729561	60
1471863	1050000	732911	60
1004764	760000	733971	30
434690	123000	727622	30
1409851	462000	729568	90
707158	525500	734683	30
785989	504000	731448	90
85828	86000	734226	30
710515	811000	732381	60
2155557	1753000	734251	30
423658	286000	731889	360
1742489	1405000	733908	100
1553459	879000	731486	60
2562092	2000000	733905	60
641510	677000	732878	30
355313	360000	732394	30
475539	247000	729995	30
1975088	1365000	734755	30
893429	484500	730702	30
950484	720000	730842	30
950484	720000	730842	30
875462	658000	730576	30
1430651	1452000	732800	360
636346	206000	727811	30
636346	206000	727811	31
191311	142000	734634	30
750269	643500	732136	30
831572	572500	731205	5
742777	600000	732170	30
750750	102272	730184	100
434647	329000	730751	30
430186	405000	734416	90
821689	682500	735348	360
1316633	1050000	733473	90
498044	455000	735389	90
425259	487000	732557	90
323411	204000	731636	60
169544	131000	733317	30
169544	131000	733317	50
726200	790500	732885	30
474136	455000	731934	30
439837	405000	730898	41
439837	405000	730898	60
748346	690000	733067	60
461624	552500	732730	20
536117	411000	734094	30
305242	285000	732393	360
752960	691000	731171	90
138194	103000	727195	60
407708	300000	734881	30
685456	732000	732297	30
887178	290000	727944	60
1196915	1148000	735327	50
1039715	720000	730890	30
884283	712000	734207	90
842196	801000	735109	30
1613021	990000	732555	30
1431812	1222500	734332	60
707837	501000	731330	30
707837	501000	731330	60
707837	501000	731330	30
4667483	41450000	735224	90
673250	420000	731303	60
353100	381000	734013	30
476785	119190	724490	90
1108109	734500	732255	30
