937692	720000	10	70243	30
230386	205000	5	34415	30
474064	409900	10	44512.01308	30
630734	630734	0	78475	360
630734	630734	0	78475	360
7561956	7561956	0	69466	90
1660333	780000	11	100411	60
1734882	1280000	8	100411	60
2489449	575000	15	100411	360
2489449	575000	15	100411	740
866242	579000	4	100411	90
1325486	680000	13	100411	30
416937	400000	11	75196	30
1408797	682000	10	74409	60
1408797	682000	10	74409	30
273486	315000	5	44512.01308	60
234747	234747	0	42689	30
683211	570000	3	95279	30
415617	51000	35	44512.01308	60
472216	535000	9	45733	360
1535624	1278000	1	100411	116
318648	353240	7	35236	60
1394841	1300000	0	74409	60
1241926	1060000	2	44512.01308	60
278158	342000	8	84241	30
717817	478000	11	69362	90
857995	550000	4	74409	30
857995	550000	4	74409	360
4400231	1400000	16	126740	60
891051	891051	0	69362	30
1471863	1050000	7	74409	60
1004764	760000	4	95856	30
434690	123000	21	37862	30
1409851	462000	16	81015	90
707158	525500	2	45733	30
85828	86000	3	30981	30
710515	811000	8	71926	60
2155557	1753000	3	139895	30
423658	286000	10	36687	360
3787032	3787032	0	100411	30
1742489	1405000	4	139895	100
1553459	879000	11	100411	60
2562092	2000000	4	100411	60
407401	407401	0	44512.01308	30
1526183	1526183	0	55221	360
641510	677000	7	79050	30
355313	360000	8	69466	30
2388737	2388737	0	100411	90
475539	247000	15	59615	30
1975088	1365000	2	76579	30
893429	484500	13	80733	30
950484	720000	13	44512.01308	30
950484	720000	13	44512.01308	30
875462	658000	13	70243	30
779124	779124	0	70243	30
1430651	1452000	7	76579	360
636346	206000	21	70243	30
636346	206000	21	70243	31
191311	142000	2	54861	30
750269	643500	9	76579	30
299699	299699	0	76579	60
831572	572500	12	70243	5
742777	600000	9	76579	30
750750	102272	14	70243	100
6232182	6232182	0	69466	60
898696	898696	0	84429	30
434647	329000	13	76579	30
430186	405000	3	44512.01308	90
821689	682500	0	38293	360
1316633	1050000	5	64757	90
498044	455000	0	55641	90
425259	487000	8	70370	90
323411	204000	10	34415	60
169544	131000	6	44512.01308	30
169544	131000	6	44512.01308	50
726200	790500	7	76579	30
474136	455000	10	55597	30
439837	405000	12	70243	41
439837	405000	12	70243	60
748346	690000	6	69466	60
461624	552500	7	70243	20
536117	411000	4	76579	30
305242	285000	8	64315	360
752960	691000	12	35453	90
138194	103000	23	39050	60
685456	732000	9	77283	30
887178	290000	20	70243	60
1196915	1148000	0	95856	50
1039715	720000	12	100411	30
234065	234065	4	78722	30
884283	712000	3	70243	90
842196	801000	1	67214	30
1613021	990000	8	100411	30
1431812	1222500	3	95856	60
707837	501000	11	70243	30
707837	501000	11	70243	60
707837	501000	11	70243	30
673250	420000	11	95279	60
353100	381000	4	44512.01308	30
343532	343532	0	53371	90
476785	119190	30	44512.01308	90
1108109	734500	9	74409	30
